Feature,Coeficiente,Coeficiente_abs
Tenure,-0.7868731261218445,0.7868731261218445
InternetService_No,-0.6585815230288324,0.6585815230288324
ChargesMonthly,-0.6514070300781938,0.6514070300781938
InternetService_Fiber optic,0.5729336120773715,0.5729336120773715
Contract_Two year,-0.3448570085529312,0.3448570085529312
Contract_Month-to-month,0.2980705300793181,0.2980705300793181
StreamingTV_No,-0.21237446748421548,0.21237446748421548
PaymentMethod_Electronic check,0.16952094752648303,0.16952094752648303
PaperlessBilling_Yes,0.16565106059397144,0.16565106059397144
MultipleLines_No,-0.16563328219365947,0.16563328219365947
StreamingMovies_No,-0.12760255060273587,0.12760255060273587
InternetService_DSL,-0.1170497542728018,0.1170497542728018
TechSupport_No,0.11356392299627222,0.11356392299627222
StreamingMovies_Yes,0.08627123471469672,0.08627123471469672
Dependents_No,0.07734602911583797,0.07734602911583797
OnlineSecurity_Yes,-0.07586200789365907,0.07586200789365907
SeniorCitizen_Yes,0.06629604286155086,0.06629604286155086
DeviceProtection_No,-0.047424671077110146,0.047424671077110146
Contract_One year,-0.04656163119699072,0.04656163119699072
StreamingTV_Yes,0.04643157386047061,0.04643157386047061
MultipleLines_Yes,0.04476376509496309,0.04476376509496309
Partner_No,0.03109881902938013,0.03109881902938013
PaymentMethod_Bank transfer (automatic),-0.027798039021382146,0.027798039021382146
SeniorCitizen_No,-0.012551615878725143,0.012551615878725143
PaymentMethod_Credit card (automatic),-0.01243263103355698,0.01243263103355698
OnlineBackup_No,0.0025976517871236764,0.0025976517871236764
DeviceProtection_Yes,0.0003510429084368093,0.0003510429084368093
OnlineSecurity_No,0.00011294235976053917,0.00011294235976053917
Partner_Yes,0.0,0.0
Dependents_Yes,0.0,0.0
OnlineBackup_Yes,0.0,0.0
TechSupport_Yes,0.0,0.0
PaperlessBilling_No,0.0,0.0
PaymentMethod_Mailed check,0.0,0.0
